Index,Group,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Variance,Deviation
158029,"(9, 23)",99.95046071534728,0.0,0.0,99.97027642920837,5.548399881105717,52.283761022490836,0.18824928168037253,0.18824928168037253
158030,"(9, 23)",100.0,0.0,0.0,99.8711978599029,8.570296244922224,73.16952343208165,0.0,0.0
158027,"(9, 24)",98.61227219528507,0.0,0.0,100.0,0.15047650894499248,51.9311151981274,13.425848520314329,13.425848520314329
158035,"(9, 24)",99.83280387895,0.0,0.0,99.96656077579,9.647216184584517,51.9311151981274,1.120214011034944,1.120214011034944
158054,"(9, 24)",100.0,0.0,0.0,99.84952349105501,22.939307808058853,81.70874435713091,0.0,0.0
158061,"(9, 25)",100.0,0.0,0.0,99.75354282193469,59.88909426987061,63.46272335181762,0.0,0.0
268576,"(9, 26)",100.0,0.0,0.0,99.93880048959608,30.966952264381884,87.94369645042839,0.0,0.0
268593,"(9, 27)",100.00000000000001,0.0,0.0,100.00000000000001,13.133940182054618,75.55266579973993,0.0,0.0
268594,"(9, 28)",100.0,0.0,0.0,100.0,30.612244897959187,60.932944606414,0.0,0.0
268638,"(9, 29)",100.0,0.0,0.0,98.63945578231292,57.14285714285714,46.25850340136054,0.0,0.0
268643,"(9, 30)",100.0,0.0,0.0,100.0,38.70967741935483,32.25806451612903,0.0,0.0
